# Region type : patch inlet
# Faces       : 25
# Area        : 1.000000e-01
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)
803           	-3.677775e+00
804           	-3.681159e+00
805           	-3.684502e+00
806           	-3.687827e+00
807           	-3.691160e+00
808           	-3.694535e+00
809           	-3.697946e+00
810           	-3.701409e+00
811           	-3.705087e+00
812           	-3.708777e+00
813           	-3.712465e+00
814           	-3.716127e+00
815           	-3.719983e+00
816           	-3.723586e+00
817           	-3.727191e+00
818           	-3.730828e+00
819           	-3.734850e+00
820           	-3.738567e+00
821           	-3.742331e+00
822           	-3.746143e+00
823           	-3.750016e+00
824           	-3.754012e+00
825           	-3.758090e+00
826           	-3.762219e+00
827           	-3.766365e+00
828           	-3.770508e+00
829           	-3.774646e+00
830           	-3.778782e+00
831           	-3.782933e+00
832           	-3.787094e+00
833           	-3.791282e+00
834           	-3.795503e+00
835           	-3.799753e+00
836           	-3.804031e+00
837           	-3.808333e+00
838           	-3.812668e+00
839           	-3.817029e+00
840           	-3.821415e+00
841           	-3.825821e+00
842           	-3.830249e+00
843           	-3.834703e+00
844           	-3.839152e+00
845           	-3.843599e+00
846           	-3.848041e+00
847           	-3.852518e+00
848           	-3.857014e+00
849           	-3.861542e+00
850           	-3.866067e+00
851           	-3.870652e+00
852           	-3.875075e+00
853           	-3.879456e+00
854           	-3.884113e+00
855           	-3.888825e+00
856           	-3.893530e+00
857           	-3.897928e+00
858           	-3.902590e+00
859           	-3.907281e+00
860           	-3.911969e+00
861           	-3.916338e+00
862           	-3.920998e+00
863           	-3.925374e+00
864           	-3.930092e+00
865           	-3.934854e+00
866           	-3.939591e+00
867           	-3.943972e+00
868           	-3.948646e+00
869           	-3.953015e+00
870           	-3.957759e+00
871           	-3.962196e+00
872           	-3.967033e+00
873           	-3.971519e+00
874           	-3.976333e+00
875           	-3.980844e+00
876           	-3.985692e+00
877           	-3.990480e+00
878           	-3.995204e+00
879           	-3.999600e+00
880           	-4.004230e+00
881           	-4.008620e+00
882           	-4.013298e+00
883           	-4.017769e+00
884           	-4.022533e+00
885           	-4.027070e+00
886           	-4.031870e+00
887           	-4.036431e+00
888           	-4.041240e+00
889           	-4.045782e+00
890           	-4.050305e+00
891           	-4.054853e+00
892           	-4.059658e+00
893           	-4.064460e+00
894           	-4.068970e+00
895           	-4.073430e+00
896           	-4.078117e+00
897           	-4.082556e+00
898           	-4.087237e+00
899           	-4.091667e+00
900           	-4.096309e+00
901           	-4.100927e+00
902           	-4.105503e+00
903           	-4.109797e+00
904           	-4.114316e+00
905           	-4.118600e+00
906           	-4.123159e+00
907           	-4.127510e+00
908           	-4.132123e+00
909           	-4.136499e+00
910           	-4.140874e+00
911           	-4.145277e+00
912           	-4.149934e+00
913           	-4.154561e+00
914           	-4.158875e+00
915           	-4.163354e+00
916           	-4.167548e+00
917           	-4.171936e+00
918           	-4.176100e+00
919           	-4.180470e+00
920           	-4.184636e+00
921           	-4.189026e+00
922           	-4.193190e+00
923           	-4.197576e+00
924           	-4.201722e+00
925           	-4.206064e+00
926           	-4.210374e+00
927           	-4.214627e+00
928           	-4.218622e+00
929           	-4.222778e+00
930           	-4.226744e+00
931           	-4.230916e+00
932           	-4.235086e+00
933           	-4.239238e+00
934           	-4.243350e+00
935           	-4.247413e+00
936           	-4.251431e+00
937           	-4.255411e+00
938           	-4.259367e+00
939           	-4.263305e+00
940           	-4.267239e+00
941           	-4.271157e+00
942           	-4.275073e+00
943           	-4.278969e+00
944           	-4.282680e+00
945           	-4.286575e+00
946           	-4.290470e+00
947           	-4.294360e+00
948           	-4.298221e+00
949           	-4.302051e+00
950           	-4.305816e+00
951           	-4.309555e+00
952           	-4.313246e+00
953           	-4.316921e+00
954           	-4.320560e+00
955           	-4.324192e+00
956           	-4.327821e+00
957           	-4.331441e+00
958           	-4.335024e+00
959           	-4.338588e+00
960           	-4.342139e+00
961           	-4.345684e+00
962           	-4.349218e+00
963           	-4.352713e+00
964           	-4.356189e+00
965           	-4.359648e+00
966           	-4.363089e+00
967           	-4.366509e+00
968           	-4.369910e+00
969           	-4.373268e+00
970           	-4.376603e+00
971           	-4.379914e+00
972           	-4.383203e+00
973           	-4.386449e+00
974           	-4.389674e+00
975           	-4.392886e+00
976           	-4.396092e+00
977           	-4.399293e+00
978           	-4.402485e+00
979           	-4.405661e+00
980           	-4.408855e+00
981           	-4.411987e+00
982           	-4.415066e+00
983           	-4.418101e+00
984           	-4.421105e+00
985           	-4.424099e+00
986           	-4.427083e+00
987           	-4.430061e+00
988           	-4.433053e+00
989           	-4.435982e+00
990           	-4.438878e+00
991           	-4.441749e+00
992           	-4.444612e+00
993           	-4.447473e+00
994           	-4.450333e+00
995           	-4.453217e+00
996           	-4.456033e+00
997           	-4.458823e+00
998           	-4.461592e+00
999           	-4.464340e+00
1000          	-4.467075e+00
1001          	-4.469792e+00
1002          	-4.472496e+00
1003          	-4.475234e+00
1004          	-4.477876e+00
1005          	-4.480509e+00
1006          	-4.483087e+00
1007          	-4.485645e+00
1008          	-4.488192e+00
1009          	-4.490721e+00
1010          	-4.493166e+00
1011          	-4.495607e+00
1012          	-4.498046e+00
1013          	-4.500495e+00
1014          	-4.502916e+00
1015          	-4.505325e+00
1016          	-4.507717e+00
1017          	-4.510094e+00
1018          	-4.512439e+00
1019          	-4.514765e+00
1020          	-4.517071e+00
1021          	-4.519361e+00
1022          	-4.521622e+00
1023          	-4.523873e+00
1024          	-4.526117e+00
1025          	-4.528348e+00
1026          	-4.530601e+00
1027          	-4.532783e+00
1028          	-4.534934e+00
1029          	-4.537073e+00
1030          	-4.539199e+00
1031          	-4.541303e+00
1032          	-4.543397e+00
1033          	-4.545482e+00
1034          	-4.547549e+00
1035          	-4.549607e+00
1036          	-4.551640e+00
1037          	-4.553675e+00
1038          	-4.555684e+00
1039          	-4.557654e+00
1040          	-4.559584e+00
1041          	-4.561438e+00
1042          	-4.563272e+00
1043          	-4.565104e+00
1044          	-4.566952e+00
1045          	-4.568817e+00
1046          	-4.570695e+00
1047          	-4.572572e+00
